date,manufacturer,product,sales_value,sales_volume,current_price,category,subcategory,_source_row
2024-07-01,Private Label,Monteverde Farfalle 500g,142350.27,2376.5,59.89912476330738,Pasta,Macaroni,104
2024-07-01,Private Label,Monteverde Fusilli 500g,96875.45,1621.0,59.76276989512646,Pasta,Macaroni,105
2024-07-01,Private Label,Monteverde Fussili Tricolor 500g,53263.67,890.0,59.846820224719096,Pasta,Macaroni,106
2024-07-01,Private Label,Monteverde Fussili Wholewheat 500g,105462.23,1509.5,69.8656707519046,Pasta,Macaroni,107
2024-07-01,Private Label,Monteverde Lumache 500g,101856.24,1700.5,59.89781828873861,Pasta,Macaroni,108
2024-07-01,Private Label,Monteverde Pasta Macaroni 500g,65749.28,1372.0,47.92221574344023,Pasta,Macaroni,109
2024-07-01,Private Label,Monteverde Penne Rigate 500g,256562.87,4283.0,59.9026079850572,Pasta,Macaroni,110
2024-07-01,Private Label,Monteverde Penne Wholewheat 500g,96313.8,1305.0,73.80367816091955,Pasta,Macaroni,111
2024-07-01,Private Label,Ritebrand Macaroni 500g,8322443.21,318033.5,26.1684483238401,Pasta,Macaroni,112
2024-07-01,Private Label,Ritebrand Penne Pasta 500g,15.98,1.0,15.98,Pasta,Macaroni,113
2024-07-01,Private Label,Simple Truth Fusilli High Protein 500g,5606.32,65.0,86.25107692307692,Pasta,Macaroni,114
2024-07-01,Private Label,Simple Truth Fusilli Red Lentil 250g,35541.42,205.5,172.95094890510947,Pasta,Macaroni,115
2024-07-01,Private Label,Simple Truth Macaroni 500g,14887.18,147.0,101.27333333333334,Pasta,Macaroni,116
2024-07-01,Private Label,Simple Truth Macaroni Gluten Free 500g,281892.9,4131.0,68.23841684822078,Pasta,Macaroni,117
2024-07-01,Private Label,Simple Truth Penne Green Pea 250g,32211.63,188.0,171.33845744680852,Pasta,Macaroni,118
2024-07-01,Rialto Foods,Granoro Pennoni Rigate 500g,27822.95,369.5,75.29891745602166,Pasta,Macaroni,119
2024-07-01,Rialto Foods,Granoro Spirali Grandi Fussili 500g,9078.09,121.0,75.02553719008264,Pasta,Macaroni,120
2024-07-01,Sam Mills,Sam Mills Fusilli Corn Pasta Wheat Free 500g,22139.47,180.0,122.99705555555556,Pasta,Macaroni,121
2024-07-01,Sam Mills,Sam Mills Penne Rigate 500g,31384.79,242.5,129.4218144329897,Pasta,Macaroni,122
2024-07-01,San Remo,San Remo Gluten Free Fusilli 250g,48627.4,263.5,184.54421252371918,Pasta,Macaroni,123
2024-07-01,San Remo,San Remo Gluten Free Penne 350g,72410.89,546.0,132.62067765567767,Pasta,Macaroni,124
2024-07-01,San Remo,San Remo Gluten Free Pulse Pasta Penne 250g,50625.17,264.5,191.39950850661626,Pasta,Macaroni,125
2024-07-01,Shoprite Holdings,Ritebrand Macaroni 500g,400.0,1.0,400.0,Pasta,Macaroni,126
2024-07-01,Tiger Brands,Fatti's & Moni's Bellissimo Pasta Penne Rigate 500g,54701.94,852.5,64.16649853372434,Pasta,Macaroni,127
2024-07-01,Tiger Brands,Fatti's & Moni's Curved Shells 500g,250669.69,6223.5,40.277928818189125,Pasta,Macaroni,128
2024-07-01,Tiger Brands,Fatti's & Moni's Elbow Macaroni 500g,257720.65,6240.0,41.30138621794872,Pasta,Macaroni,129
2024-07-01,Tiger Brands,Fatti's & Moni's Farfalle Bellissimo 100% Durum Wheat 500g,170845.95,2122.5,80.49279151943463,Pasta,Macaroni,130
2024-07-01,Tiger Brands,Fatti's & Moni's Macaroni 1kg,1082661.25,27990.0,38.680287602715254,Pasta,Macaroni,131
2024-07-01,Tiger Brands,Fatti's & Moni's Macaroni 2kg,890319.96,23640.0,37.66158883248731,Pasta,Macaroni,132
2024-07-01,Tiger Brands,Fatti's & Moni's Macaroni 3kg,14852.19,417.0,35.61676258992806,Pasta,Macaroni,133
2024-07-01,Tiger Brands,Fatti's & Moni's Macaroni 500g,13222798.58,412325.0,32.06887426180804,Pasta,Macaroni,134
2024-07-01,Tiger Brands,Fatti's & Moni's Macaroni Bellissimo 500g,240720.97,3025.5,79.56402908610147,Pasta,Macaroni,135
2024-07-01,Tiger Brands,Fatti's & Moni's Pasta 1kg,143681.6,2566.0,55.99438815276695,Pasta,Macaroni,136
2024-07-01,Tiger Brands,Fatti's & Moni's Pasta 250g,170048.57,577.25,294.58392377652666,Pasta,Macaroni,137
2024-07-01,Tiger Brands,Fatti's & Moni's Pasta Ribbon 500g,69.99,0.5,139.98,Pasta,Macaroni,138
2024-07-01,Tiger Brands,Fatti's & Moni's Pasta Screws 500g,592649.53,14070.5,42.12000497494759,Pasta,Macaroni,139
2024-07-01,Tiger Brands,Fatti's & Moni's Pasta Shells 500g,9.99,0.5,19.98,Pasta,Macaroni,140
2024-07-01,Tiger Brands,Fatti's & Moni's Pipe Rigate 500g,27.98,0.5,55.96,Pasta,Macaroni,141
2024-07-01,Tiger Brands,Fatti's & Moni's Quills 500g,205925.95,4939.0,41.693855031382874,Pasta,Macaroni,142
2024-07-01,Tiger Brands,Fatti's & Moni's Shells 500g,424653.81,9871.5,43.018164412703236,Pasta,Macaroni,143
2024-07-01,Tiger Brands,Fatti's & Moni's Spirals 500g,305100.1,7417.5,41.132470508931576,Pasta,Macaroni,144
2024-07-01,Tiger Brands,Fatti's & Moni's Wholewheat Macaroni 500g,27339.91,547.5,49.935908675799084,Pasta,Macaroni,145
2024-07-01,Unknown Manufacturer,Polana Pasta Macaroni 12x500g,515.08,18.0,28.61555555555556,Pasta,Macaroni,146
2024-07-01,Unknown Manufacturer,Riscossa Tagliatelle 500g,2634.59,26.0,101.33038461538462,Pasta,Macaroni,147
2024-07-01,Unknown Manufacturer,Tartufi Jimmy Egg Pasta Black Truffle 250g,2429.66,6.75,359.9496296296296,Pasta,Macaroni,148
2024-07-01,Unknown Manufacturer,Tartufi Jimmy Egg Pasta White Truffle 250g,1629.71,4.0,407.4275,Pasta,Macaroni,149
2024-07-01,Unknown Manufacturer,Unknown Brand Macaroni 500g,2485499.89,88883.5,27.963569053873893,Pasta,Macaroni,150
2024-07-01,Unknown Manufacturer,Unknown Brand Pasta Cavatappi 500g,177871.1,4948.5,35.944447812468425,Pasta,Macaroni,151
2024-07-01,Unknown Manufacturer,Unknown Brand Pasta Penne Rigate 500g,550627.78,16546.5,33.27759828362494,Pasta,Macaroni,152
2024-07-01,Unknown Manufacturer,Unknown Brand Pasta Screws 500g,190451.67,5300.0,35.93427735849057,Pasta,Macaroni,153
2024-07-01,Unknown Manufacturer,Unknown Brand Pasta Tricolor 500g,187052.07,5202.5,35.95426621816434,Pasta,Macaroni,154
2024-07-01,Unknown Manufacturer,Unknown Brand Pennoni Rigati 500g,2206.08,30.5,72.33049180327869,Pasta,Macaroni,155
2024-07-01,Bolux Group,A1 Noodles Instant Assorted 5x55g,124336.67,856.31,145.2005348530322,Pasta,Noodles,156
